is_internal	prereq	department	count	p	role	course	department	count	p	role	weight
external	MATH41	MATH	876.0	0.05545356713299994	0	CHEM31B	CHEM	2540.0	0.16079002342216878	0	0.2545662100456621	
external	ECON102B	ECON	1039.0	0.06577198202190289	0	<END>	special	15797.0	1.0	0	0.25409047160731474	
external	MATH42	MATH	1115.0	0.07058302209280243	0	CS106A	CS	7270.0	0.4602139646768374	0	0.2538116591928251	
external	CHEM31X	CHEM	1251.0	0.0791922516933595	0	PHYSICS41	PHYSICS	3406.0	0.21561055896689243	0	0.25259792166266987	
external	CHEM31B	CHEM	2540.0	0.16079002342216878	0	HUMBIO2B	HUMBIO	1520.0	0.09622080141799076	0	0.25236220472440946	
internal	CS145	CS	818.0	0.05178198392099766	0	CS161	CS	1990.0	0.12597328606697475	0	0.25183374083129584	
internal	CS108	CS	943.0	0.059694878774450844	0	CS109	CS	2672.0	0.16914604038741532	0	0.2513255567338282	
external	MATH41	MATH	876.0	0.05545356713299994	0	CHEM33	CHEM	3118.0	0.1973792492245363	0	0.25	
internal	ME101	ME	1336.0	0.08457302019370766	0	ME80	ME	935.0	0.05918845350382984	0	0.25	
external	SPANLANG3	SPANLANG	1552.0	0.09824650250047477	0	<END>	special	15797.0	1.0	0	0.25	
external	MATH52	MATH	1317.0	0.08337026017598279	0	CS103	CS	3319.0	0.21010318414888904	0	0.2498101746393318	
internal	CS108	CS	943.0	0.059694878774450844	0	CS110	CS	1927.0	0.12198518706083433	0	0.2492046659597031	
external	CHEM31A	CHEM	2894.0	0.18319934164714818	0	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	0.24740843123704215	
external	CHEM31X	CHEM	1251.0	0.0791922516933595	0	CS106B	CS	5006.0	0.31689561309109326	0	0.24700239808153476	
external	BIO41	BIO	1388.0	0.08786478445274419	0	CHEM130	CHEM	1268.0	0.08026840539342914	0	0.24639769452449567	
external	CHEM31B	CHEM	2540.0	0.16079002342216878	0	HUMBIO3A	HUMBIO	1369.0	0.0866620244350193	0	0.24566929133858267	
internal	PHYSICS42	PHYSICS	1162.0	0.07355827055770083	0	PHYSICS46	PHYSICS	813.0	0.05146546812685953	0	0.24182444061962136	
internal	PHYSICS41	PHYSICS	3406.0	0.21561055896689243	0	PHYSICS45	PHYSICS	1794.0	0.11356586693676014	0	0.24163241338813857	
external	PHYSICS21	PHYSICS	1140.0	0.07216560106349307	0	<END>	special	15797.0	1.0	0	0.2412280701754386	
